personagem,interacoes_livro1,interacoes_livro2,interacoes_livro3,total_interacoes
Addam-Marbrand,9,0,29,38
Jaime-Lannister,241,154,563,958
Tywin-Lannister,181,111,258,550
Aegon-I-Targaryen,9,17,11,37
Daenerys-Targaryen,443,136,308,887
Eddard-Stark,1284,169,94,1547
Aemon-Targaryen-(Maester-Aemon),74,34,154,262
Alliser-Thorne,80,18,55,153
Bowen-Marsh,28,0,57,85
Chett,19,5,30,54
Clydas,5,0,38,43
Jeor-Mormont,181,163,120,464
Jon-Snow,784,360,756,1900
Samwell-Tarly,148,93,413,654
Aerys-II-Targaryen,37,22,68,127
Brandon-Stark,41,0,14,55
Gerold-Hightower,17,0,17,34
Jon-Arryn,169,0,11,180
Robert-Baratheon,941,214,167,1322
Aggo,36,33,7,76
Drogo,256,19,21,296
Jhogo,43,33,12,88
Jorah-Mormont,154,67,136,357
Quaro,21,0,0,21
Rakharo,24,11,14,49
Albett,11,0,0,11
Halder,56,0,6,62
Rast,26,0,0,26
Grenn,85,17,149,251
Pypar,107,0,105,212
Tyrion-Lannister,650,829,782,2261
Alyn,32,0,0,32
Harwin,18,0,53,71
Jory-Cassel,152,0,0,152
Tomard,42,0,0,42
Arthur-Dayne,4,0,20,24
Arya-Stark,430,424,442,1296
Benjen-Stark,104,5,12,121
Bran-Stark,531,486,311,1328
Catelyn-Stark,520,320,325,1165
Cersei-Lannister,424,515,363,1302
Desmond,7,0,0,7
Ilyn-Payne,43,79,67,189
Jeyne-Poole,54,0,0,54
Joffrey-Baratheon,422,629,598,1649
Meryn-Trant,36,105,95,236
Mordane,141,0,4,145
Mycah,50,0,15,65
Myrcella-Baratheon,54,66,21,141
Petyr-Baelish,313,137,128,578
Rickon-Stark,98,145,78,321
Robb-Stark,516,344,486,1346
Rodrik-Cassel,124,120,3,247
Sandor-Clegane,135,130,207,472
Sansa-Stark,545,313,532,1390
Syrio-Forel,31,8,0,39
Tommen-Baratheon,37,86,82,205
Vayon-Poole,28,0,0,28
Yoren,33,87,0,120
Arys-Oakheart,3,13,0,16
Balon-Greyjoy,7,53,14,74
Balon-Swann,6,24,26,56
Renly-Baratheon,186,357,62,605
Barristan-Selmy,143,26,27,196
Boros-Blount,26,58,37,121
Pycelle,150,60,41,251
Varys,231,224,99,554
Jaremy-Rykker,24,6,0,30
Luwin,210,158,5,373
Mance-Rayder,3,19,252,274
Theon-Greyjoy,133,294,36,463
Waymar-Royce,34,0,0,34
Beric-Dondarrion,28,8,107,143
Gregor-Clegane,74,63,195,332
Loras-Tyrell,78,47,113,238
Thoros-of-Myr,5,3,98,106
Hali,3,0,0,3
Hallis-Mollen,37,9,0,46
Hodor,52,122,123,297
Hullen,20,0,0,20
Joseth,7,0,0,7
Nan,33,24,26,83
Osha,31,86,0,117
Rickard-Karstark,46,3,37,86
Rickard-Stark,7,0,0,7
Stiv,7,0,0,7
Lyanna-Stark,36,0,0,36
Bronn,109,94,88,291
Chiggen,16,0,0,16
Marillion,29,0,25,54
Shae,15,61,64,140
Shagga,44,26,0,70
Vardis-Egen,37,0,0,37
Willis-Wode,28,0,0,28
Brynden-Tully,69,14,39,122
Edmure-Tully,48,50,119,217
Hoster-Tully,24,11,55,90
Lysa-Arryn,138,17,132,287
Nestor-Royce,6,0,0,6
Walder-Frey,41,9,106,156
Colemon,7,0,0,7
Donnel-Waynwood,3,0,0,3
Eon-Hunter,9,0,0,9
Jon-Umber-(Greatjon),39,8,52,99
Masha-Heddle,5,0,0,5
Moreo-Tumitis,3,0,0,3
Mya-Stone,9,0,0,9
Mychel-Redfort,3,0,0,3
Robert-Arryn,20,4,26,50
Stevron-Frey,8,0,11,19
Tytos-Blackwood,10,0,3,13
Wendel-Manderly,6,16,6,28
Cayn,16,0,0,16
Janos-Slynt,25,71,76,172
Stannis-Baratheon,105,461,299,865
Chella,5,11,0,16
Clement-Piper,4,0,0,4
Karyl-Vance,11,0,0,11
Cohollo,29,0,0,29
Haggo,45,0,0,45
Qotho,68,0,0,68
Conn,20,0,0,20
Coratt,5,0,0,5
Doreah,51,3,0,54
Eroeh,5,0,0,5
Illyrio-Mopatis,70,0,11,81
Irri,81,9,45,135
Jhiqui,60,10,48,118
Mirri-Maz-Duur,63,3,0,66
Rhaegar-Targaryen,53,16,53,122
Viserys-Targaryen,105,9,35,149
Danwell-Frey,9,0,0,9
Hosteen-Frey,6,0,0,6
Jared-Frey,6,0,0,6
Dareon,6,0,0,6
Daryn-Hornwood,6,0,0,6
Torrhen-Karstark,11,0,0,11
Dolf,7,3,0,10
Donal-Noye,7,0,68,75
Jommo,6,0,0,6
Ogo,18,0,0,18
Rhaego,5,0,0,5
Dywen,4,24,27,55
Galbart-Glover,23,0,3,26
Gendry,3,97,129,229
High-Septon-(fat_one),8,4,0,12
Howland-Reed,3,3,0,6
Jacks,4,0,0,4
Joss,5,0,0,5
Marq-Piper,18,0,14,32
Porther,4,0,0,4
Raymun-Darry,12,0,0,12
Tobho-Mott,7,0,0,7
Tregar,4,0,0,4
Varly,4,0,0,4
Wyl-(guard),15,0,0,15
Wylla,3,0,0,3
Fogo,4,0,0,4
Roose-Bolton,19,49,98,166
Gared,29,0,0,29
Will-(prologue),30,0,0,30
Oswell-Whent,3,0,6,9
Todder,31,0,3,34
Gunthor-son-of-Gurn,7,0,0,7
Harys-Swyft,3,0,0,3
Heward,8,0,0,8
Hobb,5,0,25,30
Hugh,3,0,0,3
Jafer-Flowers,3,0,0,3
Kevan-Lannister,28,0,71,99
Matthar,3,0,0,3
Othor,5,0,0,5
Maege-Mormont,8,0,15,23
Jonos-Bracken,3,0,0,3
Jyck,11,0,0,11
Morrec,10,0,0,10
Kurleket,5,0,0,5
Lancel-Lannister,3,55,10,68
Leo-Lefford,4,0,0,4
Mace-Tyrell,6,23,89,118
Lyn-Corbray,3,0,0,3
Paxter-Redwyne,3,3,21,27
