personagem1,personagem2,amigos_em_comum
Addam-Marbrand,Jaime-Lannister,"Tyrion-Lannister,Oberyn-Martell,Varys,Joffrey-Baratheon,Tywin-Lannister,Kevan-Lannister"
Addam-Marbrand,Tywin-Lannister,"Tyrion-Lannister,Oberyn-Martell,Varys,Joffrey-Baratheon,Kevan-Lannister,Jaime-Lannister"
Addam-Marbrand,Aegon-I-Targaryen,Tyrion-Lannister
Addam-Marbrand,Daenerys-Targaryen,Varys
Addam-Marbrand,Eddard-Stark,"Tyrion-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Alliser-Thorne,"Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Jeor-Mormont,Tyrion-Lannister
Addam-Marbrand,Jon-Snow,"Jaime-Lannister,Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Aerys-II-Targaryen,"Jaime-Lannister,Joffrey-Baratheon,Tywin-Lannister,Tyrion-Lannister"
Addam-Marbrand,Gerold-Hightower,Jaime-Lannister
Addam-Marbrand,Jon-Arryn,"Jaime-Lannister,Varys,Tyrion-Lannister"
Addam-Marbrand,Robert-Baratheon,"Tyrion-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Tyrion-Lannister,"Oberyn-Martell,Varys,Joffrey-Baratheon,Tywin-Lannister,Gyles-Rosby,Kevan-Lannister,Jaime-Lannister"
Addam-Marbrand,Jory-Cassel,Jaime-Lannister
Addam-Marbrand,Arya-Stark,"Jaime-Lannister,Joffrey-Baratheon,Tywin-Lannister,Tyrion-Lannister"
Addam-Marbrand,Benjen-Stark,Tyrion-Lannister
Addam-Marbrand,Bran-Stark,"Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Catelyn-Stark,"Tyrion-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Cersei-Lannister,"Tyrion-Lannister,Oberyn-Martell,Varys,Joffrey-Baratheon,Tywin-Lannister,Gyles-Rosby,Kevan-Lannister,Jaime-Lannister"
Addam-Marbrand,Ilyn-Payne,"Joffrey-Baratheon,Varys,Tyrion-Lannister"
Addam-Marbrand,Joffrey-Baratheon,"Tyrion-Lannister,Oberyn-Martell,Varys,Tywin-Lannister,Gyles-Rosby,Kevan-Lannister,Jaime-Lannister"
Addam-Marbrand,Meryn-Trant,"Jaime-Lannister,Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Mordane,Joffrey-Baratheon
Addam-Marbrand,Mycah,Joffrey-Baratheon
Addam-Marbrand,Myrcella-Baratheon,"Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Petyr-Baelish,"Tyrion-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Rickon-Stark,Tyrion-Lannister
Addam-Marbrand,Robb-Stark,"Tyrion-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Rodrik-Cassel,"Jaime-Lannister,Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Sandor-Clegane,"Jaime-Lannister,Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Sansa-Stark,"Tyrion-Lannister,Oberyn-Martell,Varys,Joffrey-Baratheon,Tywin-Lannister,Gyles-Rosby,Kevan-Lannister,Jaime-Lannister"
Addam-Marbrand,Tommen-Baratheon,"Tyrion-Lannister,Joffrey-Baratheon,Tywin-Lannister,Gyles-Rosby,Kevan-Lannister,Jaime-Lannister"
Addam-Marbrand,Yoren,"Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Arys-Oakheart,Joffrey-Baratheon
Addam-Marbrand,Balon-Greyjoy,Tywin-Lannister
Addam-Marbrand,Balon-Swann,"Jaime-Lannister,Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Renly-Baratheon,"Tyrion-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Barristan-Selmy,"Jaime-Lannister,Varys,Joffrey-Baratheon"
Addam-Marbrand,Boros-Blount,"Jaime-Lannister,Joffrey-Baratheon,Gyles-Rosby,Tyrion-Lannister"
Addam-Marbrand,Pycelle,"Tyrion-Lannister,Kevan-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister"
Addam-Marbrand,Varys,"Tyrion-Lannister,Kevan-Lannister,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Luwin,Tyrion-Lannister
Addam-Marbrand,Mance-Rayder,Joffrey-Baratheon
Addam-Marbrand,Theon-Greyjoy,"Jaime-Lannister,Tywin-Lannister,Tyrion-Lannister"
Addam-Marbrand,Beric-Dondarrion,Joffrey-Baratheon
Addam-Marbrand,Gregor-Clegane,"Tyrion-Lannister,Oberyn-Martell,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Loras-Tyrell,"Jaime-Lannister,Joffrey-Baratheon,Tyrion-Lannister"
Addam-Marbrand,Thoros-of-Myr,Jaime-Lannister
Addam-Marbrand,Rickard-Karstark,Jaime-Lannister
Addam-Marbrand,Bronn,"Tyrion-Lannister,Oberyn-Martell,Varys,Joffrey-Baratheon,Tywin-Lannister"
Addam-Marbrand,Chiggen,Tyrion-Lannister
Addam-Marbrand,Marillion,Tyrion-Lannister
Addam-Marbrand,Shae,"Joffrey-Baratheon,Varys,Tyrion-Lannister"
Addam-Marbrand,Shagga,Tyrion-Lannister
Addam-Marbrand,Vardis-Egen,Tyrion-Lannister
Addam-Marbrand,Willis-Wode,Tyrion-Lannister
Addam-Marbrand,Brynden-Tully,"Jaime-Lannister,Tywin-Lannister,Tyrion-Lannister"
Addam-Marbrand,Edmure-Tully,"Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Hoster-Tully,Jaime-Lannister
Addam-Marbrand,Lysa-Arryn,"Jaime-Lannister,Tywin-Lannister,Tyrion-Lannister"
Addam-Marbrand,Walder-Frey,Tywin-Lannister
Addam-Marbrand,Jon-Umber-(Greatjon),Tywin-Lannister
Addam-Marbrand,Robert-Arryn,Tyrion-Lannister
Addam-Marbrand,Janos-Slynt,"Joffrey-Baratheon,Varys,Tyrion-Lannister"
Addam-Marbrand,Stannis-Baratheon,"Tyrion-Lannister,Varys,Joffrey-Baratheon,Tywin-Lannister,Jaime-Lannister"
Addam-Marbrand,Chella,"Varys,Tyrion-Lannister"
Addam-Marbrand,Conn,Tyrion-Lannister
Addam-Marbrand,Rhaegar-Targaryen,Tywin-Lannister
Addam-Marbrand,Viserys-Targaryen,"Oberyn-Martell,Tyrion-Lannister"
Addam-Marbrand,Galbart-Glover,Jaime-Lannister
