personagem1,personagem2,total_amigos_em_comum,lista_amigos_em_comum
Jon-Snow,Samwell-Tarly,71,"Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Alliser-Thorne,Bran-Stark,Grenn,Grenn,Grenn,Jeor-Mormont,Jeor-Mormont,Jeor-Mormont,Chett,Chett,Dywen,Hobb,Bowen-Marsh,Bowen-Marsh,Halder,Craster,Craster,Jeor-Mormont,Jeor-Mormont,Jeor-Mormont,Alliser-Thorne,Alliser-Thorne,Chett,Chett,Dywen,Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Bran-Stark,Eddison-Tollett,Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Alliser-Thorne,Grenn,Grenn,Grenn,Cotter-Pyke,Halder,Bowen-Marsh,Bowen-Marsh,Craster,Craster,Gilly,Clydas,Janos-Slynt,Bran-Stark,Jeor-Mormont,Jeor-Mormont,Jeor-Mormont,Pypar,Pypar,Robb-Stark,Rast,Qhorin-Halfhand,Ottyn-Wythers,Lark,Mance-Rayder,Robb-Stark,Mance-Rayder,Melisandre,Robb-Stark,Stannis-Baratheon,Qhorin-Halfhand,Pypar,Pypar"
Jon-Snow,Mance-Rayder,43,"Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Benjen-Stark,Jeor-Mormont,Donal-Noye,Joffrey-Baratheon,Craster,Craster,Jeor-Mormont,Alliser-Thorne,Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Donal-Noye,Benjen-Stark,Joffrey-Baratheon,Dalla,Craster,Craster,Harma,Gilly,Janos-Slynt,Jeor-Mormont,Jarl,Pypar,Samwell-Tarly,Qhorin-Halfhand,Qhorin-Halfhand,Samwell-Tarly,Thoren-Smallwood,Thoren-Smallwood,Rattleshirt,Ygritte,Samwell-Tarly,Styr,Ygritte,Varamyr,Val,Qhorin-Halfhand,Qhorin-Halfhand,Rattleshirt,Tormund,Pypar"
Jon-Snow,Pypar,27,"Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Grenn,Grenn,Halder,Alliser-Thorne,Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Grenn,Grenn,Cotter-Pyke,Halder,Samwell-Tarly,Samwell-Tarly,Rast,Todder,Samwell-Tarly,Samwell-Tarly,Mance-Rayder,Mance-Rayder,Samwell-Tarly,Samwell-Tarly,Satin,Kegs,Owen"
Jon-Snow,Robert-Baratheon,64,"Aemon-Targaryen-(Maester-Aemon),Arya-Stark,Arya-Stark,Arya-Stark,Benjen-Stark,Benjen-Stark,Bran-Stark,Eddard-Stark,Eddard-Stark,Eddard-Stark,Jeor-Mormont,Cersei-Lannister,Cersei-Lannister,Cersei-Lannister,Joffrey-Baratheon,Joffrey-Baratheon,Joffrey-Baratheon,Catelyn-Stark,Catelyn-Stark,Jeor-Mormont,Jaime-Lannister,Jaime-Lannister,Jaime-Lannister,Eddard-Stark,Eddard-Stark,Eddard-Stark,Aemon-Targaryen-(Maester-Aemon),Bran-Stark,Arya-Stark,Arya-Stark,Arya-Stark,Aemon-Targaryen-(Maester-Aemon),Benjen-Stark,Benjen-Stark,Eddard-Stark,Eddard-Stark,Eddard-Stark,Joffrey-Baratheon,Joffrey-Baratheon,Joffrey-Baratheon,Arya-Stark,Arya-Stark,Arya-Stark,Janos-Slynt,Bran-Stark,Jeor-Mormont,Robb-Stark,Robb-Stark,Tyrion-Lannister,Tyrion-Lannister,Tyrion-Lannister,Jory-Cassel,Mordane,Sansa-Stark,Sansa-Stark,Sansa-Stark,Robb-Stark,Robb-Stark,Robb-Stark,Robb-Stark,Stannis-Baratheon,Stannis-Baratheon,Stannis-Baratheon,Owen"
Jon-Snow,Stannis-Baratheon,53,"Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Eddard-Stark,Eddard-Stark,Cersei-Lannister,Cersei-Lannister,Donal-Noye,Joffrey-Baratheon,Joffrey-Baratheon,Joffrey-Baratheon,Catelyn-Stark,Catelyn-Stark,Alliser-Thorne,Jaime-Lannister,Jaime-Lannister,Eddard-Stark,Eddard-Stark,Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Donal-Noye,Cotter-Pyke,Eddard-Stark,Eddard-Stark,Joffrey-Baratheon,Joffrey-Baratheon,Joffrey-Baratheon,Janos-Slynt,Robb-Stark,Robb-Stark,Samwell-Tarly,Tyrion-Lannister,Tyrion-Lannister,Jory-Cassel,Sansa-Stark,Sansa-Stark,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Samwell-Tarly,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Robb-Stark,Robb-Stark,Samwell-Tarly,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Melisandre,Melisandre,Robb-Stark,Robb-Stark"
Jon-Snow,Tyrion-Lannister,79,"Alliser-Thorne,Alliser-Thorne,Arya-Stark,Arya-Stark,Benjen-Stark,Bran-Stark,Eddard-Stark,Eddard-Stark,Eddard-Stark,Jeor-Mormont,Jeor-Mormont,Cersei-Lannister,Cersei-Lannister,Cersei-Lannister,Joffrey-Baratheon,Joffrey-Baratheon,Joffrey-Baratheon,Catelyn-Stark,Catelyn-Stark,Catelyn-Stark,Jeor-Mormont,Jeor-Mormont,Alliser-Thorne,Alliser-Thorne,Jaime-Lannister,Jaime-Lannister,Jaime-Lannister,Eddard-Stark,Eddard-Stark,Eddard-Stark,Bran-Stark,Arya-Stark,Arya-Stark,Alliser-Thorne,Alliser-Thorne,Benjen-Stark,Eddard-Stark,Eddard-Stark,Eddard-Stark,Joffrey-Baratheon,Joffrey-Baratheon,Joffrey-Baratheon,Arya-Stark,Arya-Stark,Janos-Slynt,Janos-Slynt,Bran-Stark,Jeor-Mormont,Jeor-Mormont,Robb-Stark,Robb-Stark,Robb-Stark,Rodrik-Cassel,Yoren,Sansa-Stark,Sansa-Stark,Sansa-Stark,Theon-Greyjoy,Luwin,Rickon-Stark,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Rickon-Stark,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Robb-Stark,Robb-Stark,Robb-Stark,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Theon-Greyjoy,Robb-Stark,Robb-Stark,Robb-Stark,Stannis-Baratheon,Stannis-Baratheon"
Jon-Snow,Qhorin-Halfhand,30,"Alliser-Thorne,Jeor-Mormont,Jeor-Mormont,Chett,Donal-Noye,Jeor-Mormont,Jeor-Mormont,Alliser-Thorne,Dalbridge,Chett,Ebben,Alliser-Thorne,Donal-Noye,Jeor-Mormont,Jeor-Mormont,Samwell-Tarly,Samwell-Tarly,Mance-Rayder,Mance-Rayder,Thoren-Smallwood,Rattleshirt,Rattleshirt,Ygritte,Stonesnake,Mance-Rayder,Mance-Rayder,Samwell-Tarly,Ygritte,Rattleshirt,Rattleshirt"
Eddard-Stark,Joffrey-Baratheon,141,"Arya-Stark,Arya-Stark,Arya-Stark,Barristan-Selmy,Barristan-Selmy,Catelyn-Stark,Catelyn-Stark,Catelyn-Stark,Cersei-Lannister,Cersei-Lannister,Cersei-Lannister,Beric-Dondarrion,Aerys-II-Targaryen,Bran-Stark,Bran-Stark,Bran-Stark,Bran-Stark,Aerys-II-Targaryen,Arya-Stark,Arya-Stark,Arya-Stark,Catelyn-Stark,Catelyn-Stark,Catelyn-Stark,Cersei-Lannister,Cersei-Lannister,Cersei-Lannister,Arya-Stark,Arya-Stark,Arya-Stark,Cersei-Lannister,Cersei-Lannister,Cersei-Lannister,Bran-Stark,Bran-Stark,Catelyn-Stark,Catelyn-Stark,Catelyn-Stark,Jon-Snow,Jon-Snow,Petyr-Baelish,Petyr-Baelish,Petyr-Baelish,Pycelle,Pycelle,Pycelle,Renly-Baratheon,Renly-Baratheon,Renly-Baratheon,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Sansa-Stark,Sansa-Stark,Sansa-Stark,Varys,Varys,Varys,Mycah,Mycah,High-Septon-(fat_one),Janos-Slynt,Janos-Slynt,Ilyn-Payne,Ilyn-Payne,Ilyn-Payne,Rodrik-Cassel,Gregor-Clegane,Gregor-Clegane,Sandor-Clegane,Sandor-Clegane,Sandor-Clegane,Mordane,Loras-Tyrell,Loras-Tyrell,Loras-Tyrell,Robb-Stark,Robb-Stark,Robb-Stark,Stannis-Baratheon,Stannis-Baratheon,Stannis-Baratheon,Tywin-Lannister,Tywin-Lannister,Tywin-Lannister,Tyrion-Lannister,Tyrion-Lannister,Tyrion-Lannister,Jaime-Lannister,Jaime-Lannister,Jaime-Lannister,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Varys,Varys,Varys,Petyr-Baelish,Petyr-Baelish,Petyr-Baelish,Ilyn-Payne,Ilyn-Payne,Ilyn-Payne,Renly-Baratheon,Renly-Baratheon,Renly-Baratheon,Stannis-Baratheon,Stannis-Baratheon,Stannis-Baratheon,Janos-Slynt,Janos-Slynt,Jon-Snow,Jon-Snow,Robb-Stark,Robb-Stark,Robb-Stark,Tyrion-Lannister,Tyrion-Lannister,Tyrion-Lannister,Gregor-Clegane,Gregor-Clegane,Tyrion-Lannister,Tyrion-Lannister,Tyrion-Lannister,Jon-Snow,Jon-Snow,Sandor-Clegane,Sandor-Clegane,Sandor-Clegane,Jaime-Lannister,Jaime-Lannister,Jaime-Lannister,Sansa-Stark,Sansa-Stark,Sansa-Stark,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Robb-Stark,Robb-Stark,Robb-Stark"
Eddard-Stark,Jon-Snow,74,"Arya-Stark,Arya-Stark,Arya-Stark,Catelyn-Stark,Cersei-Lannister,Bran-Stark,Bran-Stark,Bran-Stark,Bran-Stark,Bran-Stark,Bran-Stark,Arya-Stark,Arya-Stark,Arya-Stark,Catelyn-Stark,Cersei-Lannister,Arya-Stark,Arya-Stark,Arya-Stark,Cersei-Lannister,Bran-Stark,Bran-Stark,Bran-Stark,Catelyn-Stark,Joffrey-Baratheon,Joffrey-Baratheon,Jory-Cassel,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Sansa-Stark,Janos-Slynt,Rickon-Stark,Rickon-Stark,Theon-Greyjoy,Theon-Greyjoy,Rodrik-Cassel,Mordane,Luwin,Robb-Stark,Robb-Stark,Robb-Stark,Stannis-Baratheon,Tyrion-Lannister,Jaime-Lannister,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Luwin,Rickon-Stark,Rickon-Stark,Stannis-Baratheon,Janos-Slynt,Joffrey-Baratheon,Joffrey-Baratheon,Robb-Stark,Robb-Stark,Robb-Stark,Tyrion-Lannister,Theon-Greyjoy,Theon-Greyjoy,Joffrey-Baratheon,Joffrey-Baratheon,Tyrion-Lannister,Jaime-Lannister,Sansa-Stark,Robert-Baratheon,Robert-Baratheon,Robert-Baratheon,Rickon-Stark,Rickon-Stark,Robb-Stark,Robb-Stark,Robb-Stark"
Eddard-Stark,Mordane,22,"Arya-Stark,Cersei-Lannister,Arya-Stark,Cersei-Lannister,Arya-Stark,Cersei-Lannister,Joffrey-Baratheon,Jon-Snow,Jory-Cassel,Petyr-Baelish,Robert-Baratheon,Sansa-Stark,Sansa-Stark,Robert-Baratheon,Petyr-Baelish,Joffrey-Baratheon,Jon-Snow,Joffrey-Baratheon,Jon-Snow,Sansa-Stark,Sansa-Stark,Robert-Baratheon"
